asv_in_model	pbcorr	pval
KUMC_our_set__Zotu1174	-0.255920577	1.36E-06
KUMC_our_set__Zotu746	-0.237617837	7.66E-06
KUMC_our_set__Zotu1309	-0.222708445	2.84E-05
KUMC_our_set__Zotu895	-0.219035875	3.86E-05
AlipourM_2016__Zotu630	-0.191446897	0.000334988
KUMC_our_set__Zotu763	-0.187834108	0.000435309
KUMC_our_set__Zotu1118	-0.187251088	0.000453903
AlipourM_2016__Zotu1068	-0.186819382	0.000468145
AlipourM_2016__Zotu1726	-0.186136558	0.00049152
NusbaumDJ_2018__Zotu1869	-0.185264952	0.000522932
AlipourM_2016__Zotu709	0.185035939	0.000531489
HurychJ_2023__Uniq109768	-0.184738142	0.000542811
NusbaumDJ_2018__Zotu1626	0.182916224	0.000617092
HurychJ_2023__Uniq42241	-0.18199252	0.00065825
AlipourM_2016__Zotu275	0.181738222	0.000670019
AlipourM_2016__Zotu226	-0.181243327	0.000693483
HurychJ_2023__Uniq17028	-0.179457696	0.000784613
AlipourM_2016__Zotu758	-0.179188837	0.000799255
HurychJ_2023__Uniq118521	0.177714644	0.00088413
AlipourM_2016__Zotu975	0.177276989	0.000910885
AlipourM_2016__Zotu90	-0.176426953	0.000964995
HurychJ_2023__Uniq119802	-0.175931915	0.000997858
IjazUZ_2017__Zotu796	-0.175680391	0.001014948
CortezRV_2021__Zotu1121	0.175635456	0.001018029
SchirmerM_2018__Zotu3824	-0.175325794	0.001039499
NusbaumDJ_2018__Zotu215	-0.173973458	0.001138239
AlipourM_2016__Zotu719	0.172869321	0.00122518
IjazUZ_2017__Zotu1397	-0.171625425	0.001330416
HurychJ_2023__Uniq115039	-0.171283532	0.001360762
HurychJ_2023__Uniq27889	-0.170986095	0.001387678
KUMC_our_set__Zotu27	0.169880574	0.00149206
HurychJ_2023__Uniq133845	-0.169733505	0.001506476
AlipourM_2016__Zotu535	0.169486834	0.001530943
HurychJ_2023__Uniq142093	-0.169445182	0.00153511
AlipourM_2016__Zotu391	-0.169192027	0.001560662
KUMC_our_set__Zotu673	-0.168123153	0.001672904
IjazUZ_2017__Zotu1017	-0.16803703	0.001682262
HurychJ_2023__Uniq170	0.167742344	0.001714647
AlipourM_2016__Zotu185	0.16769834	0.001719531
SchirmerM_2018__Zotu3872	-0.167361346	0.001757363
NusbaumDJ_2018__Zotu1937	-0.16653058	0.001853902
AlipourM_2016__Zotu1342	-0.165671079	0.001958865
KUMC_our_set__Zotu217	0.164627907	0.002093543
HurychJ_2023__Uniq142017	0.164372592	0.002127769
HurychJ_2023__Uniq66892	-0.163811125	0.002204838
HurychJ_2023__Uniq109649	-0.163730437	0.002216121
AlipourM_2016__Zotu1065	-0.1636381	0.002229097
HurychJ_2023__Uniq149848	-0.162998154	0.00232095
SchirmerM_2018__Zotu4095	-0.162482566	0.00239745
AlipourM_2016__Zotu1143	0.162337185	0.002419432
HurychJ_2023__Uniq119973	0.162311622	0.002423316
AlipourM_2016__Zotu1686	-0.162251865	0.002432418
IjazUZ_2017__Zotu392	0.162145721	0.002448662
AlipourM_2016__Zotu602	-0.161652139	0.002525506
KUMC_our_set__Zotu1352	-0.161352054	0.002573293
HurychJ_2023__Uniq111130	-0.161136316	0.002608155
AlipourM_2016__Zotu1457	-0.160856075	0.002654081
HurychJ_2023__Uniq45313	-0.160332556	0.002741854
KUMC_our_set__Zotu196	0.160257776	0.002754605
IjazUZ_2017__Zotu1080	-0.160161171	0.002771157
AlipourM_2016__Zotu1559	-0.159713655	0.002849019
AlipourM_2016__Zotu561	-0.159520656	0.002883208
SchirmerM_2018__Zotu2724	-0.158894609	0.002996692
HurychJ_2023__Uniq103250	-0.158869493	0.003001328
HurychJ_2023__Uniq147302	0.158558533	0.003059273
CortezRV_2021__Zotu1130	-0.157637438	0.003236919
AlipourM_2016__Zotu668	0.157451561	0.003273883
CortezRV_2021__Zotu741	-0.157437713	0.003276653
HurychJ_2023__Uniq47857	-0.157222572	0.003319947
SchirmerM_2018__Zotu2272	-0.156686133	0.003430168
AlipourM_2016__Zotu685	-0.156641509	0.003439485
KUMC_our_set__Zotu377	0.156435084	0.003482881
KUMC_our_set__Zotu205	0.155404758	0.003706993
AlipourM_2016__Zotu192	-0.155314516	0.003727231
HurychJ_2023__Uniq148456	-0.155245781	0.003742712
SchirmerM_2018__Zotu3342	-0.153891877	0.004059764
KUMC_our_set__Zotu820	-0.153750302	0.004094281
AlipourM_2016__Zotu113	-0.153730647	0.004099094
AlipourM_2016__Zotu739	0.153685974	0.004110052
NusbaumDJ_2018__Zotu1709	-0.153468564	0.004163762
SchirmerM_2018__Zotu2671	-0.153249637	0.004218485
IjazUZ_2017__Zotu993	-0.152883677	0.004311414
SchirmerM_2018__Zotu1161	0.152872413	0.004314304
NusbaumDJ_2018__Zotu1501	-0.152536436	0.004401294
SchirmerM_2018__Zotu2064	-0.152468583	0.004419053
SchirmerM_2018__Zotu3243	-0.152006119	0.004541827
AlipourM_2016__Zotu735	-0.151910626	0.004567558
KUMC_our_set__Zotu299	0.151401649	0.004706936
AlipourM_2016__Zotu1508	-0.151366611	0.00471667
HurychJ_2023__Uniq101324	-0.151358672	0.004718879
HurychJ_2023__Uniq18059	0.151342507	0.004723378
AlipourM_2016__Zotu1203	-0.151306993	0.004733276
AlipourM_2016__Zotu1087	-0.151277896	0.004741399
KUMC_our_set__Zotu1454	-0.151234396	0.004753566
KUMC_our_set__Zotu215	0.150928374	0.004839965
AlipourM_2016__Zotu284	-0.150719594	0.004899718
CortezRV_2021__Zotu1454	-0.150186235	0.005055394
CortezRV_2021__Zotu1299	-0.150013734	0.005106689
NusbaumDJ_2018__Zotu1948	-0.149415904	0.0052881
AlipourM_2016__Zotu1497	-0.14910164	0.00538577
AlipourM_2016__Zotu806	0.14899343	0.005419774
HurychJ_2023__Uniq128029	-0.148922299	0.005442231
SchirmerM_2018__Zotu2695	-0.148914049	0.005444841
HurychJ_2023__Uniq128236	0.148869647	0.005458908
HurychJ_2023__Uniq96358	-0.148810422	0.005477722
KUMC_our_set__Zotu1259	0.148659457	0.005525942
AlipourM_2016__Zotu344	0.148563445	0.005556807
SchirmerM_2018__Zotu3015	-0.148162946	0.005687235
HurychJ_2023__Uniq107163	0.14804547	0.00572601
AlipourM_2016__Zotu1384	-0.147528079	0.005899628
CortezRV_2021__Zotu1389	-0.147502798	0.005908231
KUMC_our_set__Zotu314	0.147292941	0.005980081
CortezRV_2021__Zotu51	-0.147235249	0.00599997
HurychJ_2023__Uniq92050	-0.146838493	0.006138366
SchirmerM_2018__Zotu3905	-0.146717445	0.006181157
KUMC_our_set__Zotu1083	-0.146693051	0.006189812
HurychJ_2023__Uniq45103	-0.146000811	0.006440007
IjazUZ_2017__Zotu587	0.145998285	0.006440936
KUMC_our_set__Zotu811	0.14589919	0.006477489
AlipourM_2016__Zotu1217	0.145846718	0.006496919
IjazUZ_2017__Zotu542	-0.145445003	0.006647408
HurychJ_2023__Uniq64160	-0.145432359	0.006652195
HurychJ_2023__Uniq105630	-0.145389581	0.006668413
SchirmerM_2018__Zotu3584	-0.145313483	0.006697352
IjazUZ_2017__Zotu1643	-0.145210292	0.006736772
AlipourM_2016__Zotu1158	0.145139832	0.006763808
AlipourM_2016__Zotu147	-0.144646744	0.006955742
IjazUZ_2017__Zotu758	-0.144444522	0.007035855
AlipourM_2016__Zotu191	0.144218821	0.007126243
CortezRV_2021__Zotu861	-0.143743027	0.007320195
KUMC_our_set__Zotu495	-0.143742145	0.007320559
SchirmerM_2018__Zotu3787	-0.143463165	0.007436468
AlipourM_2016__Zotu955	0.143163104	0.007562962
HurychJ_2023__Uniq128501	0.143088863	0.007594554
IjazUZ_2017__Zotu1163	-0.142399796	0.007893442
SchirmerM_2018__Zotu2956	-0.142052582	0.008047988
HurychJ_2023__Uniq51017	-0.141739509	0.008189643
SchirmerM_2018__Zotu2354	-0.141716888	0.008199964
CortezRV_2021__Zotu1365	-0.141709785	0.008203208
IjazUZ_2017__Zotu1280	-0.141602107	0.008252512
IjazUZ_2017__Zotu1068	-0.141569314	0.00826758
KUMC_our_set__Zotu1098	-0.141266791	0.008407745
AlipourM_2016__Zotu1616	-0.141215496	0.00843172
IjazUZ_2017__Zotu276	0.141041388	0.00851355
AlipourM_2016__Zotu116	-0.140872972	0.008593378
KUMC_our_set__Zotu307	0.140610123	0.008719297
HurychJ_2023__Uniq130912	-0.140325476	0.008857508
AlipourM_2016__Zotu309	-0.140260704	0.008889229
HurychJ_2023__Uniq147301	-0.140190548	0.008923701
KUMC_our_set__Zotu372	0.140077744	0.008979377
AlipourM_2016__Zotu152	-0.139992478	0.009021667
CortezRV_2021__Zotu1516	-0.139947835	0.009043879
SchirmerM_2018__Zotu2169	-0.139936519	0.009049517
AlipourM_2016__Zotu1701	-0.139605535	0.009215812
SchirmerM_2018__Zotu2665	-0.139590604	0.009223377
SchirmerM_2018__Zotu2807	-0.139393171	0.009323934
AlipourM_2016__Zotu534	0.139019603	0.009516867
HurychJ_2023__Uniq77957	0.138986036	0.009534376
HurychJ_2023__Uniq118309	0.138838899	0.009611459
HurychJ_2023__Uniq131090	-0.138742288	0.009662374
HurychJ_2023__Uniq145099	-0.138706105	0.009681504
SchirmerM_2018__Zotu2040	-0.138703735	0.009682758
HurychJ_2023__Uniq74796	0.138504466	0.009788728
HurychJ_2023__Uniq7711	-0.138350495	0.009871312
HurychJ_2023__Uniq82412	-0.138280147	0.009909249
HurychJ_2023__Uniq135902	0.138267295	0.009916194
HurychJ_2023__Uniq116656	-0.13824616	0.009927624
HurychJ_2023__Uniq2153	-0.138137121	0.009986779
KUMC_our_set__Zotu742	-0.138014867	0.010053475
SchirmerM_2018__Zotu3674	-0.13787659	0.010129388
SchirmerM_2018__Zotu945	-0.137342127	0.010427604
AlipourM_2016__Zotu445	-0.137208046	0.010503627
HurychJ_2023__Uniq109902	-0.137180828	0.01051912
IjazUZ_2017__Zotu595	-0.137112473	0.010558116
KUMC_our_set__Zotu1037	0.137104232	0.010562826
SchirmerM_2018__Zotu1711	-0.137014288	0.010614354
SchirmerM_2018__Zotu2890	-0.136920189	0.010668501
SchirmerM_2018__Zotu3890	-0.136891284	0.010685183
HurychJ_2023__Uniq89220	-0.136734823	0.010775881
HurychJ_2023__Uniq149460	-0.136694194	0.010799544
SchirmerM_2018__Zotu3154	-0.136539964	0.01088979
IjazUZ_2017__Zotu1667	-0.136414151	0.010963902
SchirmerM_2018__Zotu2860	-0.136324627	0.011016908
HurychJ_2023__Uniq6647	-0.13612155	0.01113799
HurychJ_2023__Uniq75600	-0.13602684	0.011194861
HurychJ_2023__Uniq81914	-0.135783006	0.011342461
CortezRV_2021__Zotu1324	0.135654512	0.011420931
HurychJ_2023__Uniq66845	-0.135648624	0.011424538
HurychJ_2023__Uniq87161	0.135422902	0.011563587
HurychJ_2023__Uniq122942	-0.135250187	0.01167099
HurychJ_2023__Uniq9105	0.135232692	0.011681918
AlipourM_2016__Zotu989	0.135231516	0.011682653
KUMC_our_set__Zotu190	0.135221834	0.011688705
HurychJ_2023__Uniq129699	0.135123481	0.011750342
HurychJ_2023__Uniq128579	-0.134990491	0.01183414
KUMC_our_set__Zotu625	0.134867068	0.011912383
AlipourM_2016__Zotu209	-0.134807474	0.011950325
KUMC_our_set__Zotu527	0.134671202	0.012037488
SchirmerM_2018__Zotu3941	-0.134637618	0.012059054
KUMC_our_set__Zotu690	0.1345561	0.012111545
SchirmerM_2018__Zotu1889	-0.134525785	0.012131118
KUMC_our_set__Zotu382	0.13430396	0.012275183
SchirmerM_2018__Zotu2682	-0.134159803	0.012369613
HurychJ_2023__Uniq70271	-0.134032822	0.012453322
HurychJ_2023__Uniq109611	-0.133990818	0.012481122
AlipourM_2016__Zotu519	-0.133983576	0.01248592
NusbaumDJ_2018__Zotu770	-0.133978163	0.012489508
AlipourM_2016__Zotu1487	0.133897895	0.012542816
KUMC_our_set__Zotu914	0.133798912	0.01260883
AlipourM_2016__Zotu505	0.133709547	0.012668692
HurychJ_2023__Uniq116231	0.133535674	0.01278588
SchirmerM_2018__Zotu2356	-0.133305294	0.012942624
KUMC_our_set__Zotu474	-0.133254115	0.012977674
SchirmerM_2018__Zotu3099	-0.13290808	0.013216855
HurychJ_2023__Uniq58120	-0.132692572	0.013367769
HurychJ_2023__Uniq2840	-0.132587884	0.013441624
IjazUZ_2017__Zotu556	-0.132524191	0.013486735
SchirmerM_2018__Zotu3936	-0.132377709	0.013590984
SchirmerM_2018__Zotu714	-0.13230581	0.013642412
AlipourM_2016__Zotu75	0.131962618	0.01389026
NusbaumDJ_2018__Zotu1303	-0.131868414	0.01395898
NusbaumDJ_2018__Zotu1867	-0.131812426	0.013999965
HurychJ_2023__Uniq114086	-0.131666154	0.014107538
KUMC_our_set__Zotu1186	-0.131568848	0.014179501
HurychJ_2023__Uniq20352	-0.13146681	0.014255311
AlipourM_2016__Zotu1405	0.131419158	0.014290836
CortezRV_2021__Zotu911	-0.131371417	0.014326505
HurychJ_2023__Uniq22499	-0.131353905	0.014339609
AlipourM_2016__Zotu1623	0.13130063	0.014379537
IjazUZ_2017__Zotu904	-0.131289474	0.014387911
HurychJ_2023__Uniq131718	0.131251839	0.014416191
HurychJ_2023__Uniq93980	-0.131204852	0.014451566
KUMC_our_set__Zotu463	0.131179739	0.014470504
HurychJ_2023__Uniq46115	-0.131161917	0.014483958
KUMC_our_set__Zotu1401	-0.131119102	0.014516322
SchirmerM_2018__Zotu1038	-0.13095383	0.01464185
HurychJ_2023__Uniq125462	-0.130858318	0.014714827
HurychJ_2023__Uniq48025	-0.130714966	0.014824955
HurychJ_2023__Uniq102809	0.130618636	0.014899365
KUMC_our_set__Zotu993	0.130454903	0.015026593
AlipourM_2016__Zotu509	-0.130439726	0.015038434
AlipourM_2016__Zotu312	-0.130312808	0.015137777
HurychJ_2023__Uniq7874	-0.130056377	0.015340253
KUMC_our_set__Zotu506	0.13002878	0.015362185
HurychJ_2023__Uniq111623	0.129881049	0.015480054
HurychJ_2023__Uniq144553	-0.12962919	0.015682831
NusbaumDJ_2018__Zotu1630	-0.129547809	0.015748848
AlipourM_2016__Zotu1390	-0.129349952	0.015910367
AlipourM_2016__Zotu1376	0.129331374	0.015925607
KUMC_our_set__Zotu441	0.128850544	0.016324522
HurychJ_2023__Uniq20564	-0.128759035	0.016401423
AlipourM_2016__Zotu1072	0.128740371	0.016417147
AlipourM_2016__Zotu810	-0.128700291	0.016450957
CortezRV_2021__Zotu976	0.1286559	0.016488475
HurychJ_2023__Uniq109853	0.128626682	0.016513209
AlipourM_2016__Zotu1522	-0.128617356	0.016521112
AlipourM_2016__Zotu1584	-0.128522645	0.016601547
HurychJ_2023__Uniq102749	0.128414851	0.01669351
SchirmerM_2018__Zotu2388	-0.128253514	0.016831985
CortezRV_2021__Zotu1480	-0.128091246	0.016972271
SchirmerM_2018__Zotu3457	-0.127808819	0.017218874
SchirmerM_2018__Zotu2857	-0.127745048	0.017274987
KUMC_our_set__Zotu255	-0.127712008	0.017304123
SchirmerM_2018__Zotu2217	-0.127629601	0.017376978
HurychJ_2023__Uniq77434	-0.127593688	0.017408812
CortezRV_2021__Zotu1343	0.127549532	0.017448022
HurychJ_2023__Uniq129461	0.127394047	0.017586708
IjazUZ_2017__Zotu818	-0.127265379	0.0177022
HurychJ_2023__Uniq81356	-0.127251053	0.017715099
KUMC_our_set__Zotu627	0.12723848	0.017726427
KUMC_our_set__Zotu461	0.127108744	0.017843687
NusbaumDJ_2018__Zotu654	-0.127090108	0.017860587
HurychJ_2023__Uniq104397	-0.127008624	0.017934641
AlipourM_2016__Zotu564	-0.126960615	0.017978398
KUMC_our_set__Zotu950	-0.126730581	0.018189354
HurychJ_2023__Uniq119565	0.126575267	0.018333003
AlipourM_2016__Zotu172	-0.126242318	0.018644283
KUMC_our_set__Zotu1394	0.126231225	0.018654732
CortezRV_2021__Zotu707	-0.126228605	0.018657202
SchirmerM_2018__Zotu3019	-0.126165236	0.018717001
SchirmerM_2018__Zotu2685	0.126153641	0.018727961
AlipourM_2016__Zotu1173	-0.126046609	0.018829395
SchirmerM_2018__Zotu1074	-0.126008248	0.018865866
HurychJ_2023__Uniq2493	0.12580754	0.019057689
AlipourM_2016__Zotu953	-0.125782044	0.019082177
SchirmerM_2018__Zotu2254	-0.125732321	0.019130015
SchirmerM_2018__Zotu3516	-0.125718026	0.019143787
HurychJ_2023__Uniq55715	-0.125674552	0.019185723
HurychJ_2023__Uniq146757	0.125646082	0.01921323
HurychJ_2023__Uniq22595	-0.125618784	0.019239636
SchirmerM_2018__Zotu3507	-0.125458096	0.019395717
HurychJ_2023__Uniq77670	-0.125432692	0.019420494
HurychJ_2023__Uniq97801	-0.125401099	0.019451344
NusbaumDJ_2018__Zotu1567	-0.125282325	0.019567709
HurychJ_2023__Uniq25772	-0.125244321	0.01960507
SchirmerM_2018__Zotu3931	-0.125217768	0.019631211
HurychJ_2023__Uniq9720	0.125197203	0.019651476
HurychJ_2023__Uniq82979	-0.124966773	0.019879807
SchirmerM_2018__Zotu1782	-0.124876635	0.019969749
HurychJ_2023__Uniq113514	0.124716174	0.020130736
KUMC_our_set__Zotu357	0.124675563	0.020171658
HurychJ_2023__Uniq111076	0.124671184	0.020176076
AlipourM_2016__Zotu1463	-0.124648357	0.020199114
NusbaumDJ_2018__Zotu1520	-0.124618564	0.020229217
CortezRV_2021__Zotu907	-0.124608375	0.02023952
SchirmerM_2018__Zotu2150	-0.124596871	0.02025116
HurychJ_2023__Uniq114446	-0.124578552	0.020269707
HurychJ_2023__Uniq49364	-0.124545039	0.020303674
KUMC_our_set__Zotu961	0.124497366	0.020352078
HurychJ_2023__Uniq129999	-0.124452288	0.02039794
CortezRV_2021__Zotu993	-0.124452288	0.02039794
HurychJ_2023__Uniq40907	-0.124452288	0.02039794
KUMC_our_set__Zotu317	-0.124452288	0.02039794
SchirmerM_2018__Zotu2823	-0.124452288	0.02039794
SchirmerM_2018__Zotu3903	-0.124452288	0.02039794
HurychJ_2023__Uniq72291	-0.124452288	0.02039794
SchirmerM_2018__Zotu3504	-0.124452288	0.02039794
NusbaumDJ_2018__Zotu1232	0.124235674	0.020619574
SchirmerM_2018__Zotu3851	-0.124128029	0.02073049
HurychJ_2023__Uniq126895	-0.124032365	0.020829494
HurychJ_2023__Uniq111484	0.124011876	0.020850752
AlipourM_2016__Zotu199	-0.123998187	0.020864965
SchirmerM_2018__Zotu1705	-0.123915332	0.020951172
KUMC_our_set__Zotu423	0.123904209	0.020962768
AlipourM_2016__Zotu969	0.123899063	0.020968135
SchirmerM_2018__Zotu1807	-0.123805778	0.021065632
HurychJ_2023__Uniq121999	-0.123798082	0.021073693
KUMC_our_set__Zotu1163	0.123788163	0.021084086
NusbaumDJ_2018__Zotu1150	-0.123651035	0.02122823
AlipourM_2016__Zotu409	-0.123629456	0.02125099
KUMC_our_set__Zotu1114	-0.123550838	0.021334091
AlipourM_2016__Zotu1372	-0.123412664	0.021480828
KUMC_our_set__Zotu207	-0.123352402	0.021545098
HurychJ_2023__Uniq83702	0.123301705	0.021599296
SchirmerM_2018__Zotu1649	-0.123205682	0.021702274
HurychJ_2023__Uniq129758	-0.123203056	0.021705097
SchirmerM_2018__Zotu1223	-0.123190598	0.021718489
CortezRV_2021__Zotu1559	-0.123159276	0.021752194
CortezRV_2021__Zotu686	-0.123021841	0.021900618
HurychJ_2023__Uniq88476	-0.123004562	0.021919341
IjazUZ_2017__Zotu1450	-0.122999563	0.02192476
IjazUZ_2017__Zotu1467	-0.122999563	0.02192476
HurychJ_2023__Uniq86118	-0.122948853	0.021979798
SchirmerM_2018__Zotu2756	-0.122933289	0.021996715
HurychJ_2023__Uniq11023	-0.122919383	0.022011839
KUMC_our_set__Zotu570	-0.122904001	0.022028579
HurychJ_2023__Uniq105956	0.122812616	0.022128258
